completeEvents 429
9433.02ms	processRootFiles
4730.79ms	findSourceFile
4592.81ms	findSourceFile
4318.09ms	findSourceFile
3577.62ms	findSourceFile
2769.55ms	findSourceFile
2462.71ms	findSourceFile
2385.20ms	findSourceFile
1691.13ms	findSourceFile
1563.55ms	findSourceFile
1440.37ms	findSourceFile
1376.95ms	resolveModuleNamesWorker
1347.24ms	findSourceFile
1272.52ms	findSourceFile
1262.71ms	findSourceFile
1188.64ms	findSourceFile
1156.48ms	findSourceFile
1106.79ms	findSourceFile
881.58ms	findSourceFile
876.40ms	resolveModuleNamesWorker
663.92ms	findSourceFile
576.66ms	findSourceFile
574.84ms	findSourceFile
542.52ms	findSourceFile
506.26ms	findSourceFile
436.66ms	findSourceFile
431.58ms	resolveModuleNamesWorker
372.49ms	findSourceFile
361.50ms	findSourceFile
357.71ms	resolveModuleNamesWorker
354.94ms	resolveModuleNamesWorker
351.95ms	findSourceFile
328.46ms	findSourceFile
299.11ms	resolveModuleNamesWorker
296.79ms	findSourceFile
293.67ms	findSourceFile
232.47ms	resolveModuleNamesWorker
231.91ms	findSourceFile
225.65ms	findSourceFile
212.88ms	findSourceFile
