repo,file,exists,size_bytes,mtime_epoch,ref_size_bytes,ref_mtime_epoch,size_match,mtime_match,content_match,diff_lines,diff_file
2048,AGENTS.md,1,125012,1773478020,125012,1773467799,1,0,1,0,
2048,.github/copilot-instructions.md,1,8769,1773478020,8769,1773467769,1,0,1,0,
2048,.github/workflows/quality.yml,1,753,1773384483,753,1773384483,1,1,1,0,
2048,.github/workflows/validate.yml,1,3814,1773477729,3814,1773469718,1,0,1,0,
2048,.github/instructions/01-build.instructions.md,1,3303,1773477728,3303,1773422836,1,0,1,0,
2048,.github/instructions/02-frontend.instructions.md,1,3609,1773422955,3609,1773422836,1,0,1,0,
2048,.github/instructions/03-electron.instructions.md,1,2918,1773477728,2918,1773422836,1,0,1,0,
2048,.github/instructions/04-capacitor.instructions.md,1,2823,1773422955,2823,1773422836,1,0,1,0,
2048,.github/instructions/05-wasm.instructions.md,1,3232,1773477729,3232,1773467791,1,0,1,0,
2048,.github/instructions/06-responsive.instructions.md,1,11514,1773423285,11514,1773420357,1,0,1,0,
2048,.github/instructions/07-ai-orchestration.instructions.md,1,10240,1773477729,10240,1773469710,1,0,1,0,
2048,.github/instructions/08-input-controls.instructions.md,1,10632,1773422955,10632,1773383503,1,0,1,0,
2048,.github/instructions/09-wcag-accessibility.instructions.md,1,4427,1773470403,4427,1773460491,1,0,1,0,
2048,.github/instructions/10-security.instructions.md,1,3747,1773470403,3747,1773460503,1,0,1,0,
2048,.github/instructions/11-performance.instructions.md,1,3700,1773470403,3700,1773460514,1,0,1,0,
2048,.github/instructions/12-error-handling.instructions.md,1,3075,1773470403,3075,1773460523,1,0,1,0,
2048,.github/instructions/13-mobile-gestures.instructions.md,1,3701,1773470403,3701,1773460528,1,0,1,0,
ad-network,AGENTS.md,1,125012,1773478020,125012,1773467799,1,0,1,0,
ad-network,.github/copilot-instructions.md,1,8769,1773478020,8769,1773467769,1,0,1,0,
ad-network,.github/workflows/quality.yml,1,753,1773477729,753,1773384483,1,0,1,0,
ad-network,.github/workflows/validate.yml,1,3814,1773477729,3814,1773469718,1,0,1,0,
ad-network,.github/instructions/01-build.instructions.md,1,3303,1773477729,3303,1773422836,1,0,1,0,
ad-network,.github/instructions/02-frontend.instructions.md,1,3609,1773477729,3609,1773422836,1,0,1,0,
ad-network,.github/instructions/03-electron.instructions.md,1,2918,1773477729,2918,1773422836,1,0,1,0,
ad-network,.github/instructions/04-capacitor.instructions.md,1,2823,1773477729,2823,1773422836,1,0,1,0,
ad-network,.github/instructions/05-wasm.instructions.md,1,3232,1773477729,3232,1773467791,1,0,1,0,
ad-network,.github/instructions/06-responsive.instructions.md,1,11514,1773477729,11514,1773420357,1,0,1,0,
ad-network,.github/instructions/07-ai-orchestration.instructions.md,1,10240,1773477729,10240,1773469710,1,0,1,0,
ad-network,.github/instructions/08-input-controls.instructions.md,1,10632,1773383502,10632,1773383503,1,0,1,0,
ad-network,.github/instructions/09-wcag-accessibility.instructions.md,1,4427,1773477729,4427,1773460491,1,0,1,0,
ad-network,.github/instructions/10-security.instructions.md,1,3747,1773477729,3747,1773460503,1,0,1,0,
ad-network,.github/instructions/11-performance.instructions.md,1,3700,1773477729,3700,1773460514,1,0,1,0,
ad-network,.github/instructions/12-error-handling.instructions.md,1,3075,1773477729,3075,1773460523,1,0,1,0,
ad-network,.github/instructions/13-mobile-gestures.instructions.md,1,3701,1773477729,3701,1773460528,1,0,1,0,
ads-api,AGENTS.md,1,125012,1773478020,125012,1773467799,1,0,1,0,
ads-api,.github/copilot-instructions.md,1,8769,1773478020,8769,1773467769,1,0,1,0,
ads-api,.github/workflows/quality.yml,1,753,1773384483,753,1773384483,1,1,1,0,
ads-api,.github/workflows/validate.yml,1,3814,1773477730,3814,1773469718,1,0,1,0,
ads-api,.github/instructions/01-build.instructions.md,1,3303,1773477729,3303,1773422836,1,0,1,0,
ads-api,.github/instructions/02-frontend.instructions.md,1,3609,1773477730,3609,1773422836,1,0,1,0,
ads-api,.github/instructions/03-electron.instructions.md,1,2918,1773477730,2918,1773422836,1,0,1,0,
ads-api,.github/instructions/04-capacitor.instructions.md,1,2823,1773477730,2823,1773422836,1,0,1,0,
ads-api,.github/instructions/05-wasm.instructions.md,1,3232,1773477730,3232,1773467791,1,0,1,0,
ads-api,.github/instructions/06-responsive.instructions.md,1,11514,1773477730,11514,1773420357,1,0,1,0,
ads-api,.github/instructions/07-ai-orchestration.instructions.md,1,10240,1773477730,10240,1773469710,1,0,1,0,
ads-api,.github/instructions/08-input-controls.instructions.md,1,10632,1773383502,10632,1773383503,1,0,1,0,
ads-api,.github/instructions/09-wcag-accessibility.instructions.md,1,4427,1773477730,4427,1773460491,1,0,1,0,
ads-api,.github/instructions/10-security.instructions.md,1,3747,1773477730,3747,1773460503,1,0,1,0,
ads-api,.github/instructions/11-performance.instructions.md,1,3700,1773477730,3700,1773460514,1,0,1,0,
ads-api,.github/instructions/12-error-handling.instructions.md,1,3075,1773477730,3075,1773460523,1,0,1,0,
ads-api,.github/instructions/13-mobile-gestures.instructions.md,1,3701,1773477730,3701,1773460528,1,0,1,0,
battleship,AGENTS.md,1,125012,1773478020,125012,1773467799,1,0,1,0,
battleship,.github/copilot-instructions.md,1,8769,1773478020,8769,1773467769,1,0,1,0,
battleship,.github/workflows/quality.yml,1,753,1773384483,753,1773384483,1,1,1,0,
battleship,.github/workflows/validate.yml,1,3814,1773477730,3814,1773469718,1,0,1,0,
battleship,.github/instructions/01-build.instructions.md,1,3303,1773470452,3303,1773422836,1,0,1,0,
battleship,.github/instructions/02-frontend.instructions.md,1,3609,1773470452,3609,1773422836,1,0,1,0,
battleship,.github/instructions/03-electron.instructions.md,1,2918,1773470452,2918,1773422836,1,0,1,0,
battleship,.github/instructions/04-capacitor.instructions.md,1,2823,1773470452,2823,1773422836,1,0,1,0,
battleship,.github/instructions/05-wasm.instructions.md,1,3232,1773470452,3232,1773467791,1,0,1,0,
battleship,.github/instructions/06-responsive.instructions.md,1,11514,1773470452,11514,1773420357,1,0,1,0,
battleship,.github/instructions/07-ai-orchestration.instructions.md,1,10240,1773470452,10240,1773469710,1,0,1,0,
battleship,.github/instructions/08-input-controls.instructions.md,1,10632,1773470452,10632,1773383503,1,0,1,0,
battleship,.github/instructions/09-wcag-accessibility.instructions.md,1,4427,1773470452,4427,1773460491,1,0,1,0,
battleship,.github/instructions/10-security.instructions.md,1,3747,1773470452,3747,1773460503,1,0,1,0,
battleship,.github/instructions/11-performance.instructions.md,1,3700,1773470453,3700,1773460514,1,0,1,0,
battleship,.github/instructions/12-error-handling.instructions.md,1,3075,1773470453,3075,1773460523,1,0,1,0,
battleship,.github/instructions/13-mobile-gestures.instructions.md,1,3701,1773470453,3701,1773460528,1,0,1,0,
billing-api,AGENTS.md,1,125012,1773478020,125012,1773467799,1,0,1,0,
billing-api,.github/copilot-instructions.md,1,8769,1773478020,8769,1773467769,1,0,1,0,
billing-api,.github/workflows/quality.yml,1,753,1773384483,753,1773384483,1,1,1,0,
billing-api,.github/workflows/validate.yml,1,3814,1773477731,3814,1773469718,1,0,1,0,
